,Song,Artist(s),year
631,Man in the Mirror,Michael Jackson,1988
632,"Get Outta My Dreams, Get into My Car",Billy Ocean,1988
633,Where Do Broken Hearts Go,Whitney Houston,1988
634,Wishing Well,Terence Trent D'Arby,1988
635,Anything for You,Gloria Estefan and Miami Sound Machine,1988
636,One More Try,George Michael,1988
637,Together Forever,Rick Astley,1988
638,Foolish Beat,Debbie Gibson,1988
639,Dirty Diana,Michael Jackson,1988
640,The Flame,Cheap Trick,1988
641,Hold On to the Nights,Richard Marx,1988
642,Roll With It,Steve Winwood,1988
643,Monkey,George Michael,1988
644,Sweet Child o' Mine,Guns N' Roses,1988
645,"Don't Worry, Be Happy",Bobby McFerrin,1988
646,Love Bites,Def Leppard,1988
647,Red Red Wine,UB40,1988
648,A Groovy Kind of Love,Phil Collins,1988
649,Kokomo,The Beach Boys,1988
650,"Wild, Wild West",The Escape Club,1988
651,Bad Medicine,Bon Jovi,1988
652,"Baby, I Love Your Way/Freebird Medley",Will to Power,1988
653,Look Away,Chicago,1988
654,Every Rose Has Its Thorn,Poison,1988
655,My Prerogative,Bobby Brown,1989
656,Two Hearts,Phil Collins,1989
657,When I'm with You,Sheriff,1989
658,Straight Up,Paula Abdul,1989
659,Lost in Your Eyes,Debbie Gibson,1989
660,The Living Years,Mike + the Mechanics,1989
661,Eternal Flame,The Bangles,1989
662,The Look,Roxette,1989
663,She Drives Me Crazy,Fine Young Cannibals,1989
664,Like a Prayer,Madonna,1989
665,I'll Be There for You,Bon Jovi,1989
666,Forever Your Girl,Paula Abdul,1989
667,Rock On,Michael Damian,1989
668,Wind Beneath My Wings,Bette Midler,1989
669,I'll Be Loving You (Forever),New Kids on the Block,1989
670,Satisfied,Richard Marx,1989
671,Baby Don't Forget My Number,Milli Vanilli,1989
672,Good Thing,Fine Young Cannibals,1989
673,If You Don't Know Me by Now,Simply Red,1989
674,Toy Soldiers,Martika,1989
675,Batdance,Prince,1989
676,Right Here Waiting,Richard Marx,1989
677,Cold Hearted,Paula Abdul,1989
678,Hangin' Tough,New Kids on the Block,1989
679,Don't Wanna Lose You,Gloria Estefan,1989
680,Girl I'm Gonna Miss You,Milli Vanilli,1989
681,Miss You Much,Janet Jackson,1989
682,Listen to Your Heart,Roxette,1989
683,When I See You Smile,Bad English,1989
684,Blame It on the Rain,Milli Vanilli,1989
685,We Didn't Start the Fire,Billy Joel,1989
686,Another Day in Paradise,Phil Collins,1989
687,How Am I Supposed to Live Without You,Michael Bolton,1990
688,Opposites Attract,Paula Abdul with The Wild Pair,1990
689,Escapade,Janet Jackson,1990
690,Black Velvet,Alannah Myles,1990
691,Love Will Lead You Back,Taylor Dayne,1990
692,I'll Be Your Everything,Tommy Page,1990
693,Nothing Compares 2 U,Sinéad O'Connor,1990
694,Vogue,Madonna,1990
695,Hold On,Wilson Phillips,1990
696,It Must Have Been Love,Roxette,1990
697,Step by Step,New Kids on the Block,1990
698,She Ain't Worth It,Glenn Medeiros featuring Bobby Brown,1990
699,Vision of Love,Mariah Carey,1990
700,If Wishes Came True,Sweet Sensation,1990
701,Blaze of Glory,Jon Bon Jovi,1990
702,Release Me,Wilson Phillips,1990
703,(Can't Live Without Your) Love and Affection,Nelson,1990
704,Close to You,Maxi Priest,1990
705,Praying for Time,George Michael,1990
706,I Don't Have the Heart,James Ingram,1990
707,Black Cat,Janet Jackson,1990
708,Ice Ice Baby,Vanilla Ice,1990
709,Love Takes Time,Mariah Carey,1990
710,I'm Your Baby Tonight,Whitney Houston,1990
711,Because I Love You (The Postman Song),Stevie B,1990
712,Justify My Love,Madonna,1991
713,Love Will Never Do (Without You),Janet Jackson,1991
714,The First Time,Surface,1991
715,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory featuring Freedom Williams,1991
716,All the Man That I Need,Whitney Houston,1991
717,Someday,Mariah Carey,1991
718,One More Try,Timmy T,1991
719,Coming Out of the Dark,Gloria Estefan,1991
720,I've Been Thinking About You,Londonbeat,1991
721,You're in Love,Wilson Phillips,1991
722,Baby Baby,Amy Grant,1991
723,Joyride,Roxette,1991
724,I Like the Way (The Kissing Game),Hi-Five,1991
725,I Don't Wanna Cry,Mariah Carey,1991
726,More Than Words,Extreme,1991
727,Rush Rush,Paula Abdul,1991
728,Unbelievable,EMF,1991
729,(Everything I Do) I Do It for You,Bryan Adams,1991
730,The Promise of a New Day,Paula Abdul,1991
731,I Adore Mi Amor,Color Me Badd,1991
732,Good Vibrations,Marky Mark and the Funky Bunch featuring Loleatta Holloway,1991
733,Emotions,Mariah Carey,1991
734,Romantic,Karyn White,1991
735,Cream,Prince and the New Power Generation,1991
736,When a Man Loves a Woman,Michael Bolton,1991
737,Set Adrift on Memory Bliss,P.M. Dawn,1991
738,Black or White,Michael Jackson,1991
739,All 4 Love,Color Me Badd,1992
740,Don't Let the Sun Go Down on Me,George Michael and Elton John,1992
741,I'm Too Sexy,Right Said Fred,1992
742,To Be with You,Mr. Big,1992
743,Save the Best for Last,Vanessa Williams,1992
744,Jump,Kris Kross,1992
745,I'll Be There,Mariah Carey featuring Trey Lorenz,1992
746,Baby Got Back,Sir Mix-a-Lot,1992
747,This Used to Be My Playground,Madonna,1992
748,End of the Road,Boyz II Men,1992
749,How Do You Talk to an Angel,The Heights,1992
750,I Will Always Love You,Whitney Houston,1992
751,A Whole New World,Peabo Bryson and Regina Belle,1993
752,Informer,Snow,1993
753,Freak Me,Silk,1993
754,That's the Way Love Goes,Janet Jackson,1993
755,Weak,SWV,1993
756,Can't Help Falling in Love,UB40,1993
757,Dreamlover,Mariah Carey,1993
758,I'd Do Anything for Love (But I Won't Do That),Meat Loaf,1993
759,Again,Janet Jackson,1993
760,Hero,Mariah Carey,1993
761,All for Love,Bryan Adams / Rod Stewart / Sting,1994
762,The Power of Love,Céline Dion,1994
763,The Sign,Ace of Base,1994
764,Bump n' Grind,R. Kelly,1994
765,I Swear,All-4-One,1994
766,Stay (I Missed You),Lisa Loeb & Nine Stories,1994
767,I'll Make Love to You,Boyz II Men,1994
768,On Bended Knee,Boyz II Men,1994
769,Here Comes the Hotstepper,Ini Kamoze,1994
770,Creep,TLC,1995
771,Take a Bow,Madonna,1995
772,This Is How We Do It,Montell Jordan,1995
773,Have You Ever Really Loved a Woman?,Bryan Adams,1995
774,Waterfalls,TLC,1995
775,Kiss from a Rose,Seal,1995
776,You Are Not Alone,Michael Jackson,1995
777,Gangsta's Paradise,Coolio featuring L.V.,1995
778,Fantasy,Mariah Carey,1995
779,Exhale (Shoop Shoop),Whitney Houston,1995
780,One Sweet Day,Mariah Carey and Boyz II Men,1995
781,Because You Loved Me,Céline Dion,1996
782,Always Be My Baby,Mariah Carey,1996
783,Tha Crossroads,Bone Thugs-n-Harmony,1996
784,"How Do U Want It"" / ""California Love",2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman,1996
785,"You're Makin' Me High"" / ""Let It Flow",Toni Braxton,1996
786,"Macarena"" (Bayside Boys Mix)",Los del Río,1996
787,No Diggity,Blackstreet featuring Dr. Dre,1996
788,Un-Break My Heart,Toni Braxton,1996
789,Wannabe,Spice Girls,1997
790,Can't Nobody Hold Me Down,Puff Daddy featuring Mase,1997
791,Hypnotize,The Notorious B.I.G.,1997
792,MMMBop,Hanson,1997
793,I'll Be Missing You,Puff Daddy and Faith Evans featuring 112,1997
794,Mo Money Mo Problems,The Notorious B.I.G. featuring Puff Daddy and Mase,1997
795,Honey,Mariah Carey,1997
796,4 Seasons of Loneliness,Boyz II Men,1997
797,"Candle in the Wind 1997"" /""Something About the Way You Look Tonight",Elton John,1997
798,"Something About the Way You Look Tonight"" / ""Candle in the Wind 1997",Elton John,1998
799,Truly Madly Deeply,Savage Garden,1998
800,Together Again,Janet,1998
801,Nice & Slow,Usher,1998
802,My Heart Will Go On,Céline Dion,1998
803,Gettin' Jiggy wit It”,Will Smith,1998
804,All My Life,K-Ci & JoJo,1998
805,Too Close,Next,1998
806,My All,Mariah Carey,1998
807,The Boy Is Mine,Brandy and Monica,1998
808,I Don't Want to Miss a Thing,Aerosmith,1998
809,The First Night,Monica,1998
810,One Week,Barenaked Ladies,1998
811,Doo Wop (That Thing),Lauryn Hill,1998
812,Lately,Divine,1998
813,I'm Your Angel,R. Kelly and Céline Dion,1998
814,Have You Ever?,Brandy,1999
815,...Baby One More Time,Britney Spears,1999
816,Angel of Mine,Monica,1999
817,Believe,Cher,1999
818,No Scrubs,TLC,1999
819,Livin' la Vida Loca,Ricky Martin,1999
820,If You Had My Love,Jennifer Lopez,1999
821,"Bills, Bills, Bills",Destiny's Child,1999
822,Wild Wild West,Will Smith featuring Dru Hill and Kool Moe Dee,1999
823,Genie in a Bottle,Christina Aguilera,1999
824,Bailamos,Enrique Iglesias,1999
825,Unpretty,TLC,1999
826,Heartbreaker,Mariah Carey featuring Jay-Z,1999
827,Smooth,Santana featuring Rob Thomas,1999
