,artist_name,album_name,song_name,popularity,track_id,track_explicit
49,The Marcels,The Best Of The Marcels,Blue Moon,41,75ewj77lCHHLKOlyx5KvGw,False
50,Del Shannon,Runaway with Del Shannon,Runaway,59,45Szkclj1lt4ubm7RFK68t,False
51,Ricky Nelson,Rick Is 21,Travelin' Man - Remastered,57,1sM0yZDxUhPQhkDh2CLd6l,False
52,Ricky Nelson,The Best Of Rick Nelson (Vol. 2),Travelin' Man - Remastered,42,2jc4wyf3ys0zKCpxHRjEYx,False
53,Ricky Nelson,Greatest Hits,Travelin' Man - Remastered,26,3o899gr9F0XVCvCbLMXrZ3,False
54,Roy Orbison,Crying,Running Scared,43,6sbj89WozjblBMa5u41orw,False
55,Roy Orbison,Black & White Night,Running Scared - Live Version,22,2rkWXEbGfH2evEAOGWLOak,False
56,Roy Orbison,The Essential Roy Orbison,Running Scared - 1985 Version,21,4xIdbkgHEvEB5zIr5keBFH,False
57,Roy Orbison,A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,Running Scared - with The Royal Philharmonic Orchestra,24,5kkQzZu91zUEG9fR1NtFe5,False
58,Roy Orbison,The Ultimate Collection,Running Scared,20,4ddCS1FG34I0qL6V67FHKl,False
59,Roy Orbison,Black & White Night 30 (Live),Running Scared - Live,20,3T0uhQEOZxMoU6R1RYDc0R,False
60,Roy Orbison,The Monument Singles Collection,Running Scared,13,2QESeZVhtWu13RoCB5wLZL,False
61,Pat Boone,Pat Boone's Greatest Hits (Reissue),Moody River - Single Version,35,2TEdI0KNrYHo4UPhrt0ais,False
62,Pat Boone,Greatest Rock-N-Roll Songs,Moody River - Re-Recorded In Stereo,34,4ulci5DuLTGczNRNYJjYQT,False
63,Pat Boone,The Gold Collection,Moody River,25,3JhwxN5fPtpWh8O4qCBjYO,False
64,Pat Boone,20th Century Masters: The Millennium Collection: Best Of Pat Boone,Moody River - Single Version,6,1ZrNqxZPPtdzITexqLU03O,False
65,Pat Boone,The Gold Collection (Deluxe Version with Commentary),Moody River,7,1bwqpiqEwIcvYI7ougat6A,False
66,Gary U.S. Bonds,Rockmasters International Network Presents Dance 'Til Quarter to Three With U.S. Bonds,Quarter to Three,12,5mOECh8BAECe5HEHzJUvpd,False
67,Gary U.S. Bonds,Early Bonds,Quarter to Three,8,7AyLiMNoS99TZoMSIT1K6m,False
