,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Lucy In The Sky With Diamonds,Captain Fantastic And The Brown Dirt Cowboy,Elton John,53,13JsYnkF16pHKuOFG6uI1C,False,0.392,0.566,0,-8.127,1,0.0368,0.0889,7.6e-05,0.0676,0.538,164.11,audio_features,13JsYnkF16pHKuOFG6uI1C,spotify:track:13JsYnkF16pHKuOFG6uI1C,https://api.spotify.com/v1/tracks/13JsYnkF16pHKuOFG6uI1C,https://api.spotify.com/v1/audio-analysis/13JsYnkF16pHKuOFG6uI1C,377573,4
1,Lucy In The Sky With Diamonds - Remastered,Diamonds (Deluxe),Elton John,30,0JrJngo3Zn79B294yQRlI2,False,0.369,0.624,0,-7.539,1,0.032,0.036,1.49e-06,0.064,0.47,162.824,audio_features,0JrJngo3Zn79B294yQRlI2,spotify:track:0JrJngo3Zn79B294yQRlI2,https://api.spotify.com/v1/tracks/0JrJngo3Zn79B294yQRlI2,https://api.spotify.com/v1/audio-analysis/0JrJngo3Zn79B294yQRlI2,376800,4
2,Please Mr. Postman,Please Mr. Postman,The Marvelettes,65,6jX5mso4x00c1EiNMrTU9U,False,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,audio_features,6jX5mso4x00c1EiNMrTU9U,spotify:track:6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/tracks/6jX5mso4x00c1EiNMrTU9U,https://api.spotify.com/v1/audio-analysis/6jX5mso4x00c1EiNMrTU9U,148040,4
3,Please Mr. Postman - Stereo Version,"Forever: The Complete Motown Albums, Volume 1",The Marvelettes,51,5fNDP3NTdE69szQHUl4fFr,False,0.781,0.837,2,-5.245,1,0.0325,0.711,6.69e-06,0.0565,0.961,120.586,audio_features,5fNDP3NTdE69szQHUl4fFr,spotify:track:5fNDP3NTdE69szQHUl4fFr,https://api.spotify.com/v1/tracks/5fNDP3NTdE69szQHUl4fFr,https://api.spotify.com/v1/audio-analysis/5fNDP3NTdE69szQHUl4fFr,149400,4
4,Please Mr. Postman - Single Version / Mono,Golden Oldies,Various Artists,27,5XOQacpOBZDem3t72MwYME,False,0.77,0.852,2,-2.49,1,0.0332,0.84,0.0,0.113,0.966,120.995,audio_features,5XOQacpOBZDem3t72MwYME,spotify:track:5XOQacpOBZDem3t72MwYME,https://api.spotify.com/v1/tracks/5XOQacpOBZDem3t72MwYME,https://api.spotify.com/v1/audio-analysis/5XOQacpOBZDem3t72MwYME,149293,4
5,Please Mr. Postman,Motown: The Complete No. 1's,Various Artists,17,6mYx20gFEMNp1IPUXfat0i,False,0.779,0.796,2,-3.526,1,0.0319,0.715,0.0,0.148,0.963,120.989,audio_features,6mYx20gFEMNp1IPUXfat0i,spotify:track:6mYx20gFEMNp1IPUXfat0i,https://api.spotify.com/v1/tracks/6mYx20gFEMNp1IPUXfat0i,https://api.spotify.com/v1/audio-analysis/6mYx20gFEMNp1IPUXfat0i,149093,4
6,Please Mr. Postman - Single Version / Mono,60's Gold,Various Artists,23,6Ne72cvQU72uCAqdKdg1nW,False,0.777,0.743,2,-5.23,1,0.0318,0.708,0.0,0.164,0.963,120.994,audio_features,6Ne72cvQU72uCAqdKdg1nW,spotify:track:6Ne72cvQU72uCAqdKdg1nW,https://api.spotify.com/v1/tracks/6Ne72cvQU72uCAqdKdg1nW,https://api.spotify.com/v1/audio-analysis/6Ne72cvQU72uCAqdKdg1nW,148560,4
7,Pick Up the Pieces,AWB,Average White Band,55,2x1LQq8lsUzAA2wNj8yjC9,False,0.768,0.853,10,-5.915,0,0.0427,0.0548,0.13,0.0188,0.889,107.234,audio_features,2x1LQq8lsUzAA2wNj8yjC9,spotify:track:2x1LQq8lsUzAA2wNj8yjC9,https://api.spotify.com/v1/tracks/2x1LQq8lsUzAA2wNj8yjC9,https://api.spotify.com/v1/audio-analysis/2x1LQq8lsUzAA2wNj8yjC9,239908,4
8,The Best of My Love - 2013 Remaster,On the Border (2013 Remaster),Eagles,59,5MLLuLqPdUlx8bfKtdkLwO,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,5MLLuLqPdUlx8bfKtdkLwO,spotify:track:5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/tracks/5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/audio-analysis/5MLLuLqPdUlx8bfKtdkLwO,274891,4
9,The Best of My Love - 2013 Remaster,On the Border (2013 Remaster),Eagles,59,5MLLuLqPdUlx8bfKtdkLwO,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,5MLLuLqPdUlx8bfKtdkLwO,spotify:track:5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/tracks/5MLLuLqPdUlx8bfKtdkLwO,https://api.spotify.com/v1/audio-analysis/5MLLuLqPdUlx8bfKtdkLwO,274891,4
10,The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,49,6x8C7SBqQukeaeh9etWdZY,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,6x8C7SBqQukeaeh9etWdZY,spotify:track:6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/tracks/6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/audio-analysis/6x8C7SBqQukeaeh9etWdZY,274891,4
11,The Best of My Love - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,49,6x8C7SBqQukeaeh9etWdZY,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,6x8C7SBqQukeaeh9etWdZY,spotify:track:6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/tracks/6x8C7SBqQukeaeh9etWdZY,https://api.spotify.com/v1/audio-analysis/6x8C7SBqQukeaeh9etWdZY,274891,4
12,The Best of My Love - 2013 Remaster,Their Greatest Hits 1971-1975 (2013 Remaster),Eagles,47,1SygWpTusxfl3yhOspfXbH,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,1SygWpTusxfl3yhOspfXbH,spotify:track:1SygWpTusxfl3yhOspfXbH,https://api.spotify.com/v1/tracks/1SygWpTusxfl3yhOspfXbH,https://api.spotify.com/v1/audio-analysis/1SygWpTusxfl3yhOspfXbH,274891,4
13,The Best of My Love - 2013 Remaster,Their Greatest Hits 1971-1975 (2013 Remaster),Eagles,47,1SygWpTusxfl3yhOspfXbH,False,0.559,0.393,0,-11.095,1,0.0237,0.717,0.0,0.0532,0.669,90.105,audio_features,1SygWpTusxfl3yhOspfXbH,spotify:track:1SygWpTusxfl3yhOspfXbH,https://api.spotify.com/v1/tracks/1SygWpTusxfl3yhOspfXbH,https://api.spotify.com/v1/audio-analysis/1SygWpTusxfl3yhOspfXbH,274891,4
14,The Best of My Love - Single Version; 2018 Remaster,Legacy,Eagles,26,3qKrl67wybDK9MR7miZhW7,False,0.399,0.375,0,-12.314,1,0.0272,0.654,0.0,0.189,0.735,180.398,audio_features,3qKrl67wybDK9MR7miZhW7,spotify:track:3qKrl67wybDK9MR7miZhW7,https://api.spotify.com/v1/tracks/3qKrl67wybDK9MR7miZhW7,https://api.spotify.com/v1/audio-analysis/3qKrl67wybDK9MR7miZhW7,209533,4
15,The Best of My Love - Single Version; 2018 Remaster,Legacy,Eagles,26,3qKrl67wybDK9MR7miZhW7,False,0.399,0.375,0,-12.314,1,0.0272,0.654,0.0,0.189,0.735,180.398,audio_features,3qKrl67wybDK9MR7miZhW7,spotify:track:3qKrl67wybDK9MR7miZhW7,https://api.spotify.com/v1/tracks/3qKrl67wybDK9MR7miZhW7,https://api.spotify.com/v1/audio-analysis/3qKrl67wybDK9MR7miZhW7,209533,4
16,Black Water,What Were Once Vices Are Now Habits,The Doobie Brothers,62,4p8QcNkaq2FQj8uGJ7HEDK,False,0.532,0.441,2,-12.866,1,0.0434,0.228,0.0,0.0846,0.67,169.275,audio_features,4p8QcNkaq2FQj8uGJ7HEDK,spotify:track:4p8QcNkaq2FQj8uGJ7HEDK,https://api.spotify.com/v1/tracks/4p8QcNkaq2FQj8uGJ7HEDK,https://api.spotify.com/v1/audio-analysis/4p8QcNkaq2FQj8uGJ7HEDK,255267,4
17,Black Water - Single Version,Best of The Doobies,The Doobie Brothers,52,3x1v32I3SZNvC7q7bDhcGm,False,0.543,0.307,2,-18.253,1,0.0414,0.334,0.0,0.044,0.649,168.169,audio_features,3x1v32I3SZNvC7q7bDhcGm,spotify:track:3x1v32I3SZNvC7q7bDhcGm,https://api.spotify.com/v1/tracks/3x1v32I3SZNvC7q7bDhcGm,https://api.spotify.com/v1/audio-analysis/3x1v32I3SZNvC7q7bDhcGm,258613,4
18,Black Water (with Zac Brown Band),Southbound,The Doobie Brothers,38,2mfwqp4aPbuDgZLHjEskwY,False,0.529,0.768,4,-5.923,0,0.0466,0.17,0.0,0.167,0.673,171.126,audio_features,2mfwqp4aPbuDgZLHjEskwY,spotify:track:2mfwqp4aPbuDgZLHjEskwY,https://api.spotify.com/v1/tracks/2mfwqp4aPbuDgZLHjEskwY,https://api.spotify.com/v1/audio-analysis/2mfwqp4aPbuDgZLHjEskwY,259227,4
19,Black Water - 2006 Remaster,The Very Best Of,The Doobie Brothers,29,73yp6oE8A4Qd3HK1wk4ebo,False,0.534,0.443,2,-12.858,1,0.0446,0.237,0.0,0.0883,0.689,169.247,audio_features,73yp6oE8A4Qd3HK1wk4ebo,spotify:track:73yp6oE8A4Qd3HK1wk4ebo,https://api.spotify.com/v1/tracks/73yp6oE8A4Qd3HK1wk4ebo,https://api.spotify.com/v1/audio-analysis/73yp6oE8A4Qd3HK1wk4ebo,255093,4
20,Lady Marmalade,Best Of Patti Labelle,Patti LaBelle,55,3GGcwG519BTMdvMeFy7meT,False,0.571,0.654,2,-11.034,0,0.0501,0.551,0.0,0.0599,0.947,117.955,audio_features,3GGcwG519BTMdvMeFy7meT,spotify:track:3GGcwG519BTMdvMeFy7meT,https://api.spotify.com/v1/tracks/3GGcwG519BTMdvMeFy7meT,https://api.spotify.com/v1/audio-analysis/3GGcwG519BTMdvMeFy7meT,235267,4
21,Lady Marmalade,Nightbirds,LaBelle,55,17VWTx7LD7liGlpnlGhUbn,False,0.631,0.563,2,-12.135,0,0.0552,0.398,0.0,0.0733,0.947,117.963,audio_features,17VWTx7LD7liGlpnlGhUbn,spotify:track:17VWTx7LD7liGlpnlGhUbn,https://api.spotify.com/v1/tracks/17VWTx7LD7liGlpnlGhUbn,https://api.spotify.com/v1/audio-analysis/17VWTx7LD7liGlpnlGhUbn,237120,4
22,Lady Marmalade - Single Version,The Essential LaBelle,LaBelle,44,54nvq8xiFFDYt0dRP9d3fe,False,0.553,0.546,0,-11.422,1,0.0658,0.0978,0.0,0.0907,0.782,116.522,audio_features,54nvq8xiFFDYt0dRP9d3fe,spotify:track:54nvq8xiFFDYt0dRP9d3fe,https://api.spotify.com/v1/tracks/54nvq8xiFFDYt0dRP9d3fe,https://api.spotify.com/v1/audio-analysis/54nvq8xiFFDYt0dRP9d3fe,192680,4
23,Lady Marmalade - Single Version,70s 100 Hits,Various Artists,39,3bFK0tj9d6IWdAUSX3oylo,False,0.554,0.571,0,-12.016,1,0.0616,0.108,2.67e-06,0.0951,0.772,116.408,audio_features,3bFK0tj9d6IWdAUSX3oylo,spotify:track:3bFK0tj9d6IWdAUSX3oylo,https://api.spotify.com/v1/tracks/3bFK0tj9d6IWdAUSX3oylo,https://api.spotify.com/v1/audio-analysis/3bFK0tj9d6IWdAUSX3oylo,194653,4
24,Lady Marmalade (feat. Patti LaBelle),Lady Marmalade: The Best Of Patti & Labelle,Patti LaBelle,28,20aZlN6QJxnLzhZbO7auv0,False,0.588,0.67,0,-8.044,1,0.0573,0.285,0.0,0.0768,0.794,118.051,audio_features,20aZlN6QJxnLzhZbO7auv0,spotify:track:20aZlN6QJxnLzhZbO7auv0,https://api.spotify.com/v1/tracks/20aZlN6QJxnLzhZbO7auv0,https://api.spotify.com/v1/audio-analysis/20aZlN6QJxnLzhZbO7auv0,236000,4
25,Lady Marmalade (feat. Patti LaBelle),Carlito's Way: Music From The Motion Picture,Various Artists,14,3oA2v2V0z6M7g3Zy89AyQN,False,0.611,0.719,2,-7.525,0,0.0462,0.289,0.0,0.0551,0.962,117.945,audio_features,3oA2v2V0z6M7g3Zy89AyQN,spotify:track:3oA2v2V0z6M7g3Zy89AyQN,https://api.spotify.com/v1/tracks/3oA2v2V0z6M7g3Zy89AyQN,https://api.spotify.com/v1/audio-analysis/3oA2v2V0z6M7g3Zy89AyQN,235560,4
26,Listen To What The Man Said - Remastered 2014,Venus And Mars (Archive Collection),Wings,47,0SkpjIqhANcC2QQu8DIuwG,False,0.499,0.616,7,-8.325,1,0.0392,0.179,0.000151,0.552,0.622,113.254,audio_features,0SkpjIqhANcC2QQu8DIuwG,spotify:track:0SkpjIqhANcC2QQu8DIuwG,https://api.spotify.com/v1/tracks/0SkpjIqhANcC2QQu8DIuwG,https://api.spotify.com/v1/audio-analysis/0SkpjIqhANcC2QQu8DIuwG,240987,4
27,Listen To What The Man Said,Wingspan,Paul McCartney,32,3hFYMKAolw99FZMXEGgGwv,False,0.481,0.645,7,-7.609,1,0.0335,0.0864,4.94e-06,0.336,0.518,113.024,audio_features,3hFYMKAolw99FZMXEGgGwv,spotify:track:3hFYMKAolw99FZMXEGgGwv,https://api.spotify.com/v1/tracks/3hFYMKAolw99FZMXEGgGwv,https://api.spotify.com/v1/audio-analysis/3hFYMKAolw99FZMXEGgGwv,235360,4
28,Listen To What The Man Said - Live / Remastered,Wings Over America,Paul McCartney,27,5GDZfYtu1J2jvH1lZetbOc,False,0.552,0.714,7,-9.754,1,0.0591,0.262,0.00655,0.983,0.702,123.823,audio_features,5GDZfYtu1J2jvH1lZetbOc,spotify:track:5GDZfYtu1J2jvH1lZetbOc,https://api.spotify.com/v1/tracks/5GDZfYtu1J2jvH1lZetbOc,https://api.spotify.com/v1/audio-analysis/5GDZfYtu1J2jvH1lZetbOc,212920,4
29,Listen To What The Man Said,All The Best,Paul McCartney,25,69pWpTQqDJA82erNXqkJ1H,False,0.455,0.43,7,-16.434,1,0.0343,0.486,1.21e-06,0.361,0.669,113.406,audio_features,69pWpTQqDJA82erNXqkJ1H,spotify:track:69pWpTQqDJA82erNXqkJ1H,https://api.spotify.com/v1/tracks/69pWpTQqDJA82erNXqkJ1H,https://api.spotify.com/v1/audio-analysis/69pWpTQqDJA82erNXqkJ1H,234707,4
30,Listen To What The Man Said - Remastered 2014,Venus And Mars (Archive Collection),Wings,15,7H4V5QdMakjWDWYvmLJLOl,False,0.499,0.616,7,-8.325,1,0.0392,0.179,0.000151,0.552,0.622,113.254,audio_features,7H4V5QdMakjWDWYvmLJLOl,spotify:track:7H4V5QdMakjWDWYvmLJLOl,https://api.spotify.com/v1/tracks/7H4V5QdMakjWDWYvmLJLOl,https://api.spotify.com/v1/audio-analysis/7H4V5QdMakjWDWYvmLJLOl,240987,4
31,Listen To What The Man Said,Pure McCartney,Paul McCartney,22,5QN5JqcBJaaiYQ981sIniQ,False,0.518,0.546,7,-10.71,1,0.0386,0.216,5.81e-05,0.245,0.638,113.205,audio_features,5QN5JqcBJaaiYQ981sIniQ,spotify:track:5QN5JqcBJaaiYQ981sIniQ,https://api.spotify.com/v1/tracks/5QN5JqcBJaaiYQ981sIniQ,https://api.spotify.com/v1/audio-analysis/5QN5JqcBJaaiYQ981sIniQ,243067,4
32,Listen To What The Man Said,Pure McCartney (Deluxe Edition),Paul McCartney,18,0bBlT8T7YmbOUY9HlnJuN8,False,0.516,0.545,7,-10.724,1,0.0389,0.215,7.5e-05,0.246,0.623,113.203,audio_features,0bBlT8T7YmbOUY9HlnJuN8,spotify:track:0bBlT8T7YmbOUY9HlnJuN8,https://api.spotify.com/v1/tracks/0bBlT8T7YmbOUY9HlnJuN8,https://api.spotify.com/v1/audio-analysis/0bBlT8T7YmbOUY9HlnJuN8,243067,4
33,One of These Nights - 2013 Remaster,One of These Nights (2013 Remaster),Eagles,69,608xszaAxVh4m7NcKJiAbF,False,0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,audio_features,608xszaAxVh4m7NcKJiAbF,spotify:track:608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/tracks/608xszaAxVh4m7NcKJiAbF,https://api.spotify.com/v1/audio-analysis/608xszaAxVh4m7NcKJiAbF,291686,4
34,One of These Nights - 2013 Remaster,Their Greatest Hits 1971-1975 (2013 Remaster),Eagles,48,0EbLzgRAninN9VKUooiweR,False,0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,audio_features,0EbLzgRAninN9VKUooiweR,spotify:track:0EbLzgRAninN9VKUooiweR,https://api.spotify.com/v1/tracks/0EbLzgRAninN9VKUooiweR,https://api.spotify.com/v1/audio-analysis/0EbLzgRAninN9VKUooiweR,291686,4
35,One of These Nights - 2013 Remaster,The Very Best of the Eagles (2013 Remaster),Eagles,39,3XwfkaJOesD6fyMT5ZpkuX,False,0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,audio_features,3XwfkaJOesD6fyMT5ZpkuX,spotify:track:3XwfkaJOesD6fyMT5ZpkuX,https://api.spotify.com/v1/tracks/3XwfkaJOesD6fyMT5ZpkuX,https://api.spotify.com/v1/audio-analysis/3XwfkaJOesD6fyMT5ZpkuX,291686,4
36,"One Of These Nights - Live From The Forum, Inglewood, CA, 9/12, 14, 15/2018",Live From The Forum MMXVIII,Eagles,36,5ftcwOUDBgTobShlWmXZ8B,False,0.665,0.63,7,-11.795,1,0.0267,0.0928,0.00141,0.707,0.775,107.001,audio_features,5ftcwOUDBgTobShlWmXZ8B,spotify:track:5ftcwOUDBgTobShlWmXZ8B,https://api.spotify.com/v1/tracks/5ftcwOUDBgTobShlWmXZ8B,https://api.spotify.com/v1/audio-analysis/5ftcwOUDBgTobShlWmXZ8B,263507,4
37,One of These Nights - Single Version; 2018 Remaster,Legacy,Eagles,34,603KXhZ58l2fqgiyuIsEj8,False,0.698,0.583,7,-11.622,1,0.0319,0.0592,0.0234,0.415,0.824,109.9,audio_features,603KXhZ58l2fqgiyuIsEj8,spotify:track:603KXhZ58l2fqgiyuIsEj8,https://api.spotify.com/v1/tracks/603KXhZ58l2fqgiyuIsEj8,https://api.spotify.com/v1/audio-analysis/603KXhZ58l2fqgiyuIsEj8,213773,4
38,"One of These Nights - Live at Capital Centre, Landover, MD, 3/21-22/1977; 2017 Remaster",Hotel California (40th Anniversary Expanded Edition),Eagles,29,3D7Il9cojvBjEzV9yDxqsx,False,0.724,0.712,7,-9.0,1,0.0321,0.046,0.00055,0.76,0.709,109.475,audio_features,3D7Il9cojvBjEzV9yDxqsx,spotify:track:3D7Il9cojvBjEzV9yDxqsx,https://api.spotify.com/v1/tracks/3D7Il9cojvBjEzV9yDxqsx,https://api.spotify.com/v1/audio-analysis/3D7Il9cojvBjEzV9yDxqsx,232200,4
39,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,62,4t0Pj3iBnSCZv5pDEPNmzG,False,0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,audio_features,4t0Pj3iBnSCZv5pDEPNmzG,spotify:track:4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/tracks/4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/audio-analysis/4t0Pj3iBnSCZv5pDEPNmzG,222267,4
40,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,62,4t0Pj3iBnSCZv5pDEPNmzG,False,0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,audio_features,4t0Pj3iBnSCZv5pDEPNmzG,spotify:track:4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/tracks/4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/audio-analysis/4t0Pj3iBnSCZv5pDEPNmzG,222267,4
41,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,38,5KyLgrzur1AIRTSVqoByt8,False,0.812,0.816,5,-5.699,1,0.0569,0.21,0.0472,0.0961,0.778,105.936,audio_features,5KyLgrzur1AIRTSVqoByt8,spotify:track:5KyLgrzur1AIRTSVqoByt8,https://api.spotify.com/v1/tracks/5KyLgrzur1AIRTSVqoByt8,https://api.spotify.com/v1/audio-analysis/5KyLgrzur1AIRTSVqoByt8,225400,4
42,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Various Artists,36,42JeTLyBwAsF1ZstI13ZYn,False,0.787,0.596,5,-13.583,1,0.056,0.23,0.021,0.333,0.824,106.395,audio_features,42JeTLyBwAsF1ZstI13ZYn,spotify:track:42JeTLyBwAsF1ZstI13ZYn,https://api.spotify.com/v1/tracks/42JeTLyBwAsF1ZstI13ZYn,https://api.spotify.com/v1/audio-analysis/42JeTLyBwAsF1ZstI13ZYn,223333,4
43,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Greatest,Bee Gees,34,6YtXiuvDj7sKYBJ1XwAuDI,False,0.816,0.741,5,-7.045,1,0.0598,0.182,0.166,0.138,0.726,105.883,audio_features,6YtXiuvDj7sKYBJ1XwAuDI,spotify:track:6YtXiuvDj7sKYBJ1XwAuDI,https://api.spotify.com/v1/tracks/6YtXiuvDj7sKYBJ1XwAuDI,https://api.spotify.com/v1/audio-analysis/6YtXiuvDj7sKYBJ1XwAuDI,225040,4
44,Jive Talkin' - Live At The MGM Grand,One Night Only,Bee Gees,38,4m9X1AR1EDCNFeZO1wkM91,False,0.61,0.948,5,-6.605,1,0.0409,0.0518,0.00203,0.99,0.509,111.691,audio_features,4m9X1AR1EDCNFeZO1wkM91,spotify:track:4m9X1AR1EDCNFeZO1wkM91,https://api.spotify.com/v1/tracks/4m9X1AR1EDCNFeZO1wkM91,https://api.spotify.com/v1/audio-analysis/4m9X1AR1EDCNFeZO1wkM91,259293,4
45,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",The Ultimate Bee Gees,Bee Gees,28,6sTU7eFcHZLlSQ2z2y7WlK,False,0.82,0.727,5,-7.171,1,0.0616,0.177,0.219,0.135,0.745,105.942,audio_features,6sTU7eFcHZLlSQ2z2y7WlK,spotify:track:6sTU7eFcHZLlSQ2z2y7WlK,https://api.spotify.com/v1/tracks/6sTU7eFcHZLlSQ2z2y7WlK,https://api.spotify.com/v1/audio-analysis/6sTU7eFcHZLlSQ2z2y7WlK,224453,4
46,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Timeless - The All-Time Greatest Hits,Bee Gees,25,3Wa8GGAmCvJp15B72qOWWH,False,0.818,0.684,10,-8.444,1,0.0651,0.161,0.0599,0.155,0.649,105.952,audio_features,3Wa8GGAmCvJp15B72qOWWH,spotify:track:3Wa8GGAmCvJp15B72qOWWH,https://api.spotify.com/v1/tracks/3Wa8GGAmCvJp15B72qOWWH,https://api.spotify.com/v1/audio-analysis/3Wa8GGAmCvJp15B72qOWWH,225453,4
47,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",The Record - Their Greatest Hits,Bee Gees,22,4eeNwl0puodYP0s1dWdsCc,False,0.813,0.821,5,-5.736,1,0.0566,0.214,0.039,0.105,0.779,105.951,audio_features,4eeNwl0puodYP0s1dWdsCc,spotify:track:4eeNwl0puodYP0s1dWdsCc,https://api.spotify.com/v1/tracks/4eeNwl0puodYP0s1dWdsCc,https://api.spotify.com/v1/audio-analysis/4eeNwl0puodYP0s1dWdsCc,224227,4
48,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack),Various Artists,19,3DLVNSNu3dr37Pn7EYBxTm,False,0.787,0.596,5,-13.583,1,0.056,0.23,0.021,0.333,0.824,106.395,audio_features,3DLVNSNu3dr37Pn7EYBxTm,spotify:track:3DLVNSNu3dr37Pn7EYBxTm,https://api.spotify.com/v1/tracks/3DLVNSNu3dr37Pn7EYBxTm,https://api.spotify.com/v1/audio-analysis/3DLVNSNu3dr37Pn7EYBxTm,223333,4
49,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Number Ones,Bee Gees,19,2xusT05sK8gdw370cYZ5pB,False,0.812,0.817,5,-5.701,1,0.0566,0.21,0.0439,0.096,0.772,105.936,audio_features,2xusT05sK8gdw370cYZ5pB,spotify:track:2xusT05sK8gdw370cYZ5pB,https://api.spotify.com/v1/tracks/2xusT05sK8gdw370cYZ5pB,https://api.spotify.com/v1/audio-analysis/2xusT05sK8gdw370cYZ5pB,225400,4
50,"Jive Talkin' - Live At The Forum, Los Angeles, 1976",Here At Last… Bee Gees …Live,Bee Gees,19,1u8Jr8yIQ9YYfkQMj1GN01,False,0.601,0.862,5,-13.362,1,0.0628,0.208,0.608,0.825,0.514,110.364,audio_features,1u8Jr8yIQ9YYfkQMj1GN01,spotify:track:1u8Jr8yIQ9YYfkQMj1GN01,https://api.spotify.com/v1/tracks/1u8Jr8yIQ9YYfkQMj1GN01,https://api.spotify.com/v1/audio-analysis/1u8Jr8yIQ9YYfkQMj1GN01,303800,4
51,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Bee Gees: 1970 - 1975,Bee Gees,15,5GnRTniLDE6EDhzNszhyJ7,False,0.812,0.816,5,-5.699,1,0.0569,0.21,0.0472,0.0961,0.778,105.936,audio_features,5GnRTniLDE6EDhzNszhyJ7,spotify:track:5GnRTniLDE6EDhzNszhyJ7,https://api.spotify.com/v1/tracks/5GnRTniLDE6EDhzNszhyJ7,https://api.spotify.com/v1/audio-analysis/5GnRTniLDE6EDhzNszhyJ7,225400,4
52,Medley: Jive Talkin'/Stayin' Alive'/You Should Be Dancing,Rock and Roll Hall of Fame Volume 4: 1996- 1997,Various Artists,6,0RiY40RTLIu84eLbc26NIG,False,0.474,0.869,0,-5.759,1,0.0443,0.0146,0.222,0.711,0.577,105.231,audio_features,0RiY40RTLIu84eLbc26NIG,spotify:track:0RiY40RTLIu84eLbc26NIG,https://api.spotify.com/v1/tracks/0RiY40RTLIu84eLbc26NIG,https://api.spotify.com/v1/audio-analysis/0RiY40RTLIu84eLbc26NIG,215520,4
53,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Tales From The Brothers Gibb,Bee Gees,12,4zhceioyjJ4VTMCEX6VCbo,False,0.802,0.642,5,-12.414,1,0.0561,0.337,0.00704,0.0997,0.832,106.327,audio_features,4zhceioyjJ4VTMCEX6VCbo,spotify:track:4zhceioyjJ4VTMCEX6VCbo,https://api.spotify.com/v1/tracks/4zhceioyjJ4VTMCEX6VCbo,https://api.spotify.com/v1/audio-analysis/4zhceioyjJ4VTMCEX6VCbo,221840,4
54,Fame - 2016 Remaster,Young Americans (2016 Remaster),David Bowie,59,1PehfITh0TTRx3LkDdV4h3,False,0.786,0.555,10,-10.276,1,0.0471,0.454,0.0173,0.0826,0.673,95.1,audio_features,1PehfITh0TTRx3LkDdV4h3,spotify:track:1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/tracks/1PehfITh0TTRx3LkDdV4h3,https://api.spotify.com/v1/audio-analysis/1PehfITh0TTRx3LkDdV4h3,261373,4
