,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
626,"My Heart Will Go On - Love Theme from ""Titanic""",Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,James Horner,52,7F1yVPuJ4xRdrDvf8OL0HF,False,0.157,0.119,1,-20.156,0,0.036,0.801,0.000998,0.126,0.0391,67.005,audio_features,7F1yVPuJ4xRdrDvf8OL0HF,spotify:track:7F1yVPuJ4xRdrDvf8OL0HF,https://api.spotify.com/v1/tracks/7F1yVPuJ4xRdrDvf8OL0HF,https://api.spotify.com/v1/audio-analysis/7F1yVPuJ4xRdrDvf8OL0HF,310707,3
627,Stayin Alive,How Can You Mend A Broken Heart,Bee Gees,78,5ubvP9oKmxLUVq506fgLhk,False,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,audio_features,5ubvP9oKmxLUVq506fgLhk,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373,4
628,Stayin Alive,The Ultimate Bee Gees,Bee Gees,54,7qK3JFriCqLorQivsJYG2X,False,0.703,0.831,10,-7.225,0,0.0349,0.0328,0.00839,0.218,0.949,103.573,audio_features,7qK3JFriCqLorQivsJYG2X,spotify:track:7qK3JFriCqLorQivsJYG2X,https://api.spotify.com/v1/tracks/7qK3JFriCqLorQivsJYG2X,https://api.spotify.com/v1/audio-analysis/7qK3JFriCqLorQivsJYG2X,283147,4
629,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,77,2cX2coZS1PYBfPs8wgbdWE,False,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,audio_features,2cX2coZS1PYBfPs8wgbdWE,spotify:track:2cX2coZS1PYBfPs8wgbdWE,https://api.spotify.com/v1/tracks/2cX2coZS1PYBfPs8wgbdWE,https://api.spotify.com/v1/audio-analysis/2cX2coZS1PYBfPs8wgbdWE,196213,4
630,"Night Fever - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,72,0qemIQjSxcKyf42VPfZnfa,False,0.726,0.779,1,-7.057,0,0.0251,0.0178,0.00178,0.104,0.841,109.133,audio_features,0qemIQjSxcKyf42VPfZnfa,spotify:track:0qemIQjSxcKyf42VPfZnfa,https://api.spotify.com/v1/tracks/0qemIQjSxcKyf42VPfZnfa,https://api.spotify.com/v1/audio-analysis/0qemIQjSxcKyf42VPfZnfa,212800,4
631,"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",How Can You Mend A Broken Heart,Bee Gees,73,3ZP18us6p6LHOZMG1LLUjF,False,0.594,0.5,5,-5.586,0,0.0255,0.076,9.86e-05,0.184,0.537,104.996,audio_features,3ZP18us6p6LHOZMG1LLUjF,spotify:track:3ZP18us6p6LHOZMG1LLUjF,https://api.spotify.com/v1/tracks/3ZP18us6p6LHOZMG1LLUjF,https://api.spotify.com/v1/audio-analysis/3ZP18us6p6LHOZMG1LLUjF,241093,4
632,"You Should Be Dancing - Edit / From ""Saturday Night Fever"" Soundtrack",Children Of The World,Bee Gees,67,2xiOdusRnZezQok1RgLNeS,False,0.681,0.716,0,-10.911,1,0.0333,0.0182,0.17,0.337,0.963,123.009,audio_features,2xiOdusRnZezQok1RgLNeS,spotify:track:2xiOdusRnZezQok1RgLNeS,https://api.spotify.com/v1/tracks/2xiOdusRnZezQok1RgLNeS,https://api.spotify.com/v1/audio-analysis/2xiOdusRnZezQok1RgLNeS,256493,4
633,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Greatest,Bee Gees,66,3mRM4NM8iO7UBqrSigCQFH,False,0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,audio_features,3mRM4NM8iO7UBqrSigCQFH,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH,285373,4
634,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Let's Groove,Various Artists,0,6fmw94DdcHLFrQcg1OlpnB,False,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,audio_features,6fmw94DdcHLFrQcg1OlpnB,spotify:track:6fmw94DdcHLFrQcg1OlpnB,https://api.spotify.com/v1/tracks/6fmw94DdcHLFrQcg1OlpnB,https://api.spotify.com/v1/audio-analysis/6fmw94DdcHLFrQcg1OlpnB,196213,4
635,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Greatest,Bee Gees,64,49OMJ1prsRA7ZYgrAjz70c,False,0.632,0.683,7,-6.434,1,0.0383,0.163,0.00013,0.847,0.701,105.955,audio_features,49OMJ1prsRA7ZYgrAjz70c,spotify:track:49OMJ1prsRA7ZYgrAjz70c,https://api.spotify.com/v1/tracks/49OMJ1prsRA7ZYgrAjz70c,https://api.spotify.com/v1/audio-analysis/49OMJ1prsRA7ZYgrAjz70c,197213,4
636,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,62,4t0Pj3iBnSCZv5pDEPNmzG,False,0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,audio_features,4t0Pj3iBnSCZv5pDEPNmzG,spotify:track:4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/tracks/4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/audio-analysis/4t0Pj3iBnSCZv5pDEPNmzG,222267,4
637,"Jive Talkin' - From ""Saturday Night Fever"" Soundtrack",Main Course,Bee Gees,62,4t0Pj3iBnSCZv5pDEPNmzG,False,0.811,0.545,7,-12.969,0,0.0579,0.155,0.0853,0.156,0.734,105.911,audio_features,4t0Pj3iBnSCZv5pDEPNmzG,spotify:track:4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/tracks/4t0Pj3iBnSCZv5pDEPNmzG,https://api.spotify.com/v1/audio-analysis/4t0Pj3iBnSCZv5pDEPNmzG,222267,4
638,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Greatest,Bee Gees,61,5KgbyD2lQQlIupAaPjgiXg,False,0.733,0.795,1,-7.224,0,0.0249,0.0266,0.000948,0.083,0.892,109.122,audio_features,5KgbyD2lQQlIupAaPjgiXg,spotify:track:5KgbyD2lQQlIupAaPjgiXg,https://api.spotify.com/v1/tracks/5KgbyD2lQQlIupAaPjgiXg,https://api.spotify.com/v1/audio-analysis/5KgbyD2lQQlIupAaPjgiXg,212253,4
639,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Various Artists,52,3KfFrcJoCFXU2uFiO7XwTh,False,0.634,0.426,7,-15.046,1,0.0462,0.302,0.00266,0.653,0.689,105.921,audio_features,3KfFrcJoCFXU2uFiO7XwTh,spotify:track:3KfFrcJoCFXU2uFiO7XwTh,https://api.spotify.com/v1/tracks/3KfFrcJoCFXU2uFiO7XwTh,https://api.spotify.com/v1/audio-analysis/3KfFrcJoCFXU2uFiO7XwTh,196440,4
640,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Saturday Night Fever (The Original Movie Soundtrack),Various Artists,52,33ALuUDfftTs2NEszyvJRm,False,0.722,0.541,1,-14.951,0,0.0282,0.0241,0.000785,0.0941,0.917,109.152,audio_features,33ALuUDfftTs2NEszyvJRm,spotify:track:33ALuUDfftTs2NEszyvJRm,https://api.spotify.com/v1/tracks/33ALuUDfftTs2NEszyvJRm,https://api.spotify.com/v1/audio-analysis/33ALuUDfftTs2NEszyvJRm,211640,4
