,song,album,artist,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_samples,duration,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,genres,year,decade
10,cathys clown,The Very Best of The Everly Brothers,the everly brothers,31,5S5Jusj4MyKCze3YknWWo7,0,0.508,0.537,7,-11.392,1,0.0339,0.579,0.0,0.137,0.886,120.109,144493,4,3186078,144.49333,0.66812,140.1092,0.623,1.0,0.617,0.684,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",1960,1960
11,cathys clown,"Walk Right Back: The Everly Brothers on Warner Brothers, 1960-1969",the everly brothers,25,3VpET40k33lJhKY650zLXP,0,0.498,0.582,7,-8.961,1,0.0339,0.412,0.0,0.372,0.866,119.809,144013,4,3175494,144.01334,1.0415,140.74776,0.507,1.0,0.595,0.623,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",1960,1960
12,cathys clown single version,All I Have to Do Is Dream,the everly brothers,21,6wKXuvOQxG5Ui1Kv2F68E9,0,0.499,0.701,7,-6.128,1,0.0355,0.472,0.0,0.263,0.88,120.24,145747,4,3213714,145.74667,0.38744,140.03374,0.556,1.0,0.611,0.658,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",1960,1960
13,"cathys clown  live at the grand hotel, anaheim, ca, february 6, 1970",The Everly Brothers Show,the everly brothers,5,0ahp0ZgFHNo8ogCHpabk9e,0,0.412,0.562,6,-8.592,1,0.081,0.262,0.0,0.882,0.801,156.206,83653,4,1844556,83.65333,0.0,78.66921,0.196,1.0,0.339,0.374,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",1960,1960
14,everybodys somebodys fool,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,connie francis,30,0d8FE2qM1lDEv5TI8VuivT,0,0.582,0.591,1,-9.623,1,0.028,0.746,1.44e-06,0.169,0.847,84.201,157600,4,3475080,157.6,0.16834,152.54349,0.224,1.0,0.68,0.607,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",1960,1960
15,everybodys somebodys fool,20th Century Masters: The Millennium Collection: Best of Connie Francis,connie francis,6,3ClSxJW0iCR6g6WhElmyF2,0,0.577,0.726,1,-5.293,1,0.0302,0.787,2.41e-05,0.2,0.772,84.347,160093,4,3530058,160.09332,0.22104,151.59727,0.125,1.0,0.791,0.621,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",1960,1960
16,everybodys somebodys fool,Her Greatest Hits & Finest Performances,connie francis,5,5BqijaxrkRqCsNDUCep7Yf,0,0.602,0.627,1,-8.284,1,0.0284,0.787,2.08e-06,0.24,0.81,84.308,160173,4,3531822,160.17332,0.24331,151.52762,0.0,1.0,0.691,0.582,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",1960,1960
17,its now or never,Elvis 30 #1 Hits,elvis presley,58,1XunTmhOcj3xwh4b8P3isX,0,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,194600,4,4290930,194.6,0.17914,189.96245,0.758,1.0,0.797,0.431,"['rock-and-roll', 'rockabilly']",1960,1960
18,its now or never,Platinum - A Life In Music,elvis presley,53,6yP3V5FXNNJU8Z441vxhCV,0,0.633,0.365,4,-14.94,1,0.0403,0.428,0.00378,0.569,0.743,126.266,193907,4,4275642,193.90668,0.28082,191.39047,0.737,1.0,0.799,0.556,"['rock-and-roll', 'rockabilly']",1960,1960
19,its now or never,"Elvis' Golden Records, Vol. 3",elvis presley,44,5mlaaeSzFsH4ouhLrUHCbw,0,0.63,0.457,4,-11.634,1,0.0354,0.515,8.17e-05,0.488,0.788,126.184,195907,4,4319742,195.90668,0.27442,191.36726,0.764,1.0,0.752,0.482,"['rock-and-roll', 'rockabilly']",1960,1960
20,its now or never  with the royal philharmonic orchestra,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,elvis presley,42,35iHCJkvKHqUnZ0E2eeF5d,0,0.473,0.606,4,-6.234,1,0.0326,0.515,0.0692,0.13,0.604,125.977,196107,4,4324152,196.10667,0.24952,190.39783,0.659,0.935,0.822,0.565,"['rock-and-roll', 'rockabilly']",1960,1960
21,its now or never,The Essential Elvis Presley,elvis presley,30,7pW9Wj1U4t19HKlvxM6Pzw,0,0.637,0.466,4,-10.172,1,0.0347,0.65,0.0101,0.279,0.793,126.41,194413,4,4286814,194.41333,0.14113,190.9435,0.746,1.0,0.768,0.392,"['rock-and-roll', 'rockabilly']",1960,1960
22,its now or never,The 50 Greatest Hits,elvis presley,22,0bzIxZJNst6iypVZpZt6GR,0,0.631,0.447,4,-11.606,1,0.0366,0.537,0.000243,0.551,0.789,126.22,195347,4,4307394,195.34666,0.19184,191.286,0.716,1.0,0.783,0.403,"['rock-and-roll', 'rockabilly']",1960,1960
23,the twist,Dancin' Party: The Chubby Checker Collection (1960-1966),chubby checker,60,4YCnTYbq3oL1Lqpyxg33CU,0,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,155040,4,3418632,155.04,0.19297,151.6205,0.399,0.751,0.692,0.497,"['adult standards', 'brill building pop', 'bubblegum pop', 'rock-and-roll', 'rockabilly']",1960,1960
24,the twist,The Best Of Chubby Checker 1959-1963,chubby checker,53,3ohLnESFgYACPMCkoTOzqE,0,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,153760,4,3390408,153.76,0.18531,153.76,0.501,0.751,0.792,0.643,"['adult standards', 'brill building pop', 'bubblegum pop', 'rock-and-roll', 'rockabilly']",1960,1960
25,save the last dance for me,Save the Last Dance for Me,the drifters,58,391TUcoPonqYykPkSZ5Z9U,0,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,154960,4,3416868,154.96,0.81184,144.25977,0.168,1.0,0.837,0.662,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",1960,1960
26,save the last dance for me,All-Time Greatest Hits & More 1959-1965,the drifters,40,7quaRdGKICuz3XiF1WRdta,0,0.6,0.576,4,-7.667,1,0.0309,0.458,0.0,0.123,0.868,142.934,154227,4,3400698,154.22667,0.20912,146.20444,0.136,1.0,0.853,0.712,"['adult standards', 'brill building pop', 'bubblegum pop', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",1960,1960
27,georgia on my mind  original master recording,Georgia on My Mind (Original Master Recording),ray charles,59,47mA6f44zxLtdATOoY7GjN,0,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,217415,4,4793991,217.41457,0.09927,211.38866,0.026,0.249,0.224,0.409,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1960,1960
28,georgia on my mind,True Genius,ray charles,53,6yMGxqKj0218mFR5KqsMRq,0,0.19,0.323,7,-12.405,1,0.0303,0.626,2.17e-06,0.176,0.281,94.34,219560,4,4841298,219.56,0.6839,211.98659,0.022,0.091,0.184,0.385,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1960,1960
29,georgia on my mind,Live at l'Olympia,ray charles,38,4hd8wgCh7ZQWRyXNLnwjTD,0,0.304,0.289,4,-10.963,0,0.0432,0.752,0.0,0.756,0.154,147.176,372627,3,8216418,372.62668,0.0,366.19028,0.023,0.169,0.143,0.377,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1960,1960
30,are you lonesome tonight?,Platinum - A Life In Music,elvis presley,53,4xUqqie4bBKufHtlMuZS3k,0,0.433,0.0748,0,-19.351,1,0.049,0.92,0.00104,0.105,0.193,73.093,186667,3,4116000,186.66667,0.23773,177.16245,0.0,0.906,0.631,0.484,"['rock-and-roll', 'rockabilly']",1960,1960
