,artist_name,album_name,song_name,popularity,track_id,track_explicit
49,Blue Moon,The Best Of The Marcels,The Marcels,42,75ewj77lCHHLKOlyx5KvGw,False
50,Runaway,Runaway with Del Shannon,Del Shannon,60,45Szkclj1lt4ubm7RFK68t,False
51,Travelin' Man - Remastered,Rick Is 21,Ricky Nelson,57,1sM0yZDxUhPQhkDh2CLd6l,False
52,Travelin' Man - Remastered,The Best Of Rick Nelson (Vol. 2),Ricky Nelson,42,2jc4wyf3ys0zKCpxHRjEYx,False
53,Travelin' Man - Remastered,Greatest Hits,Ricky Nelson,26,3o899gr9F0XVCvCbLMXrZ3,False
54,Running Scared,Crying,Roy Orbison,43,6sbj89WozjblBMa5u41orw,False
55,Running Scared - 1985 Version,The Essential Roy Orbison,Roy Orbison,21,4xIdbkgHEvEB5zIr5keBFH,False
56,Running Scared - Live Version,Black & White Night,Roy Orbison,22,2rkWXEbGfH2evEAOGWLOak,False
57,Running Scared - with The Royal Philharmonic Orchestra,A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,Roy Orbison,24,5kkQzZu91zUEG9fR1NtFe5,False
58,Running Scared,The Ultimate Collection,Roy Orbison,21,4ddCS1FG34I0qL6V67FHKl,False
59,Running Scared - Live,Black & White Night 30 (Live),Roy Orbison,20,3T0uhQEOZxMoU6R1RYDc0R,False
60,Running Scared,The Monument Singles Collection,Roy Orbison,13,2QESeZVhtWu13RoCB5wLZL,False
61,Moody River - Single Version,Pat Boone's Greatest Hits (Reissue),Pat Boone,35,2TEdI0KNrYHo4UPhrt0ais,False
62,Moody River - Re-Recorded In Stereo,Greatest Rock-N-Roll Songs,Pat Boone,35,4ulci5DuLTGczNRNYJjYQT,False
63,Moody River,The Gold Collection,Pat Boone,26,3JhwxN5fPtpWh8O4qCBjYO,False
64,Moody River - Single Version,20th Century Masters: The Millennium Collection: Best Of Pat Boone,Pat Boone,6,1ZrNqxZPPtdzITexqLU03O,False
65,Moody River,The Gold Collection (Deluxe Version with Commentary),Pat Boone,7,1bwqpiqEwIcvYI7ougat6A,False
66,Quarter to Three,Rockmasters International Network Presents Dance 'Til Quarter to Three With U.S. Bonds,Gary U.S. Bonds,12,5mOECh8BAECe5HEHzJUvpd,False
67,Tossin' and Turnin',Tossin' and Turnin',Bobby Lewis,36,0ZfkRyUUYS9Hvl6N5PXPot,False
68,Tossin' and Turnin' - Stereo Version,Tossin' and Turnin',Bobby Lewis,9,7HDQqox0O0fTE7elQu4XxS,False
69,Wooden Heart,The Best Of Joe Dowell,Joe Dowell,22,2ELAMT68a78OGwhCgj9Kai,False
70,Hit the Road Jack,Soul,Ray Charles,60,2HoqbEOXgbDSLZ5XCePEXt,False
71,Hit the Road Jack,True Genius,Ray Charles,59,5dUMh0ugelpKfoFp3qChuK,False
72,Runaround Sue,Runaround Sue,Dion,63,1DndHckdH9m5rp6gYP086b,False
73,Runaround Sue - Remastered 1991,The Best Of Dion & The Belmonts,Dion & The Belmonts,48,6AL6Wbn1xA3R86vAvuiho5,False
74,Runaround Sue - Remastered 1991,The Best Of Dion,Dion,54,3u6v1F9EQqYFaCAou7ipzN,False
75,Runaround Sue,The Complete Laurie Singles,Dion,50,56ovq6wDC51IgEmkBdugSJ,False
76,Big Bad John,The Best Of Jimmy Dean,Jimmy Dean,53,61uAY9xdzYiIbYJ07XvKso,False
77,Big Bad John,Big Bad John and Other Fabulous Songs and Tales,Jimmy Dean,48,4cRJvAh0BwNng8nO5Vnf5F,False
78,Big Bad John,The Jimmy Dean Collection,Jimmy Dean,31,6AzGMTpVd6BCLxQkNktHpJ,False
79,Big Bad John,Jimmy Dean'S Greatest Hits,Jimmy Dean,11,1VxwgiIBK2R7cCGVPstOdm,False
80,Please Mr. Postman,Please Mr. Postman,The Marvelettes,65,6jX5mso4x00c1EiNMrTU9U,False
81,Please Mr. Postman - Stereo Version,"Forever: The Complete Motown Albums, Volume 1",The Marvelettes,51,5fNDP3NTdE69szQHUl4fFr,False
82,The Lion Sleeps Tonight (Wimoweh),Wimoweh!!! - The Best Of The Tokens,The Tokens,61,2F4FNcz68howQWD4zaGJSi,False
83,The Lion Sleeps Tonight,Both Sides Now,The Tokens,53,5X6VbizePQKSnt55YWWyGS,False
84,The Lion Sleeps Tonight (Wimoweh),The Lion Sleeps Tonight,The Tokens,50,2QbSGkb3TgghEHpjKCsznm,False
85,The Lion Sleeps Tonight,All Time Greatest Hits,The Tokens,32,1PuBQjeSP1DMbiLZhMNADs,False
86,Duke of Earl,The Duke Of Earl,Gene Chandler,54,6Hy22YDN9HJMRlJP1LwnJy,False
87,Duke of Earl - Remastered,The Duke of Soul (Remastered),Gene Chandler,25,39J1xfhjVTnvk8DGKblMeG,False
88,Hey! Baby - Remastered,Hey! Baby (Deluxe Edition Remastered),Bruce Channel,61,0obIo2GEab6qqms6t3JaMY,False
89,Johnny Angel - Single Version,Shelley!,Shelley Fabares,40,6XEW0P64pYXfD06e4oLcWz,False
90,Johnny Angel - Single Version,The Best Of Shelley Fabares,Shelley Fabares,31,5j4CGIpT35ipZrF93ejrhl,False
91,Johnny Angel,Funny Face!,Shelley Fabares,5,0uyr9z8AgTzRX0Gr4IOOkZ,False
92,Johnny Angel (Single Version),All the Hits and More,Shelley Fabares,6,3kMvGAX3iJWiZ1nIWyif6r,False
93,Good Luck Charm,"Elvis' Golden Records, Vol. 3",Elvis Presley,52,19gotedXtqeE8dWju6WURW,False
94,Good Luck Charm,Elvis 30 #1 Hits,Elvis Presley,41,4ZexY8LcZkPd89dYPxf8LH,False
95,Good Luck Charm,The 50 Greatest Hits,Elvis Presley,20,1uXI9YpSkgMFR6AEOSxcpe,False
96,Good Luck Charm,Suspicious Minds: 60 Greatest Hits of Elvis Presley,Elvis Presley,12,5eVIYjFj6uocTvk8P4agXH,False
97,Soldier Boy,20 Greatest Hits,The Shirelles,36,6g4Oyy8IwraOjPl7nqnROq,False
98,Soldier Boy,Baby It's You,The Shirelles,36,7Ag7rVozR1OhzSdqc9K0KN,False
99,Soldier Boy,The Best Of The Shirelles,The Shirelles,18,6sVypbcpPNKuQyN3XcObDG,False
