,artist_name,album_name,song_name,popularity,track_id,track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
12,Cathy's Clown (Single Version),All I Have to Do Is Dream,The Everly Brothers,21,6wKXuvOQxG5Ui1Kv2F68E9,False,0.499,0.701,7,-6.128,1,0.0355,0.472,0.0,0.263,0.88,120.24,audio_features,6wKXuvOQxG5Ui1Kv2F68E9,spotify:track:6wKXuvOQxG5Ui1Kv2F68E9,https://api.spotify.com/v1/tracks/6wKXuvOQxG5Ui1Kv2F68E9,https://api.spotify.com/v1/audio-analysis/6wKXuvOQxG5Ui1Kv2F68E9,145747,4
13,"Cathy's Clown - Live at the Grand Hotel, Anaheim, CA, February 6, 1970",The Everly Brothers Show,The Everly Brothers,5,0ahp0ZgFHNo8ogCHpabk9e,False,0.412,0.562,6,-8.592,1,0.081,0.262,0.0,0.882,0.801,156.206,audio_features,0ahp0ZgFHNo8ogCHpabk9e,spotify:track:0ahp0ZgFHNo8ogCHpabk9e,https://api.spotify.com/v1/tracks/0ahp0ZgFHNo8ogCHpabk9e,https://api.spotify.com/v1/audio-analysis/0ahp0ZgFHNo8ogCHpabk9e,83653,4
14,Everybody's Somebody's Fool,The Very Best Of Connie Francis - Connie's 21 Biggest Hits,Connie Francis,30,0d8FE2qM1lDEv5TI8VuivT,False,0.582,0.591,1,-9.623,1,0.028,0.746,1.44e-06,0.169,0.847,84.201,audio_features,0d8FE2qM1lDEv5TI8VuivT,spotify:track:0d8FE2qM1lDEv5TI8VuivT,https://api.spotify.com/v1/tracks/0d8FE2qM1lDEv5TI8VuivT,https://api.spotify.com/v1/audio-analysis/0d8FE2qM1lDEv5TI8VuivT,157600,4
15,Everybody's Somebody's Fool,20th Century Masters: The Millennium Collection: Best of Connie Francis,Connie Francis,6,3ClSxJW0iCR6g6WhElmyF2,False,0.577,0.726,1,-5.293,1,0.0302,0.787,2.41e-05,0.2,0.772,84.347,audio_features,3ClSxJW0iCR6g6WhElmyF2,spotify:track:3ClSxJW0iCR6g6WhElmyF2,https://api.spotify.com/v1/tracks/3ClSxJW0iCR6g6WhElmyF2,https://api.spotify.com/v1/audio-analysis/3ClSxJW0iCR6g6WhElmyF2,160093,4
16,Everybody's Somebody's Fool,Her Greatest Hits & Finest Performances,Connie Francis,5,5BqijaxrkRqCsNDUCep7Yf,False,0.602,0.627,1,-8.284,1,0.0284,0.787,2.08e-06,0.24,0.81,84.308,audio_features,5BqijaxrkRqCsNDUCep7Yf,spotify:track:5BqijaxrkRqCsNDUCep7Yf,https://api.spotify.com/v1/tracks/5BqijaxrkRqCsNDUCep7Yf,https://api.spotify.com/v1/audio-analysis/5BqijaxrkRqCsNDUCep7Yf,160173,4
17,It's Now or Never,Elvis 30 #1 Hits,Elvis Presley,58,1XunTmhOcj3xwh4b8P3isX,False,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,audio_features,1XunTmhOcj3xwh4b8P3isX,spotify:track:1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/tracks/1XunTmhOcj3xwh4b8P3isX,https://api.spotify.com/v1/audio-analysis/1XunTmhOcj3xwh4b8P3isX,194600,4
18,It's Now or Never,Platinum - A Life In Music,Elvis Presley,53,6yP3V5FXNNJU8Z441vxhCV,False,0.633,0.365,4,-14.94,1,0.0403,0.428,0.00378,0.569,0.743,126.266,audio_features,6yP3V5FXNNJU8Z441vxhCV,spotify:track:6yP3V5FXNNJU8Z441vxhCV,https://api.spotify.com/v1/tracks/6yP3V5FXNNJU8Z441vxhCV,https://api.spotify.com/v1/audio-analysis/6yP3V5FXNNJU8Z441vxhCV,193907,4
19,It's Now or Never,"Elvis' Golden Records, Vol. 3",Elvis Presley,44,5mlaaeSzFsH4ouhLrUHCbw,False,0.63,0.457,4,-11.634,1,0.0354,0.515,8.17e-05,0.488,0.788,126.184,audio_features,5mlaaeSzFsH4ouhLrUHCbw,spotify:track:5mlaaeSzFsH4ouhLrUHCbw,https://api.spotify.com/v1/tracks/5mlaaeSzFsH4ouhLrUHCbw,https://api.spotify.com/v1/audio-analysis/5mlaaeSzFsH4ouhLrUHCbw,195907,4
20,It's Now or Never - with The Royal Philharmonic Orchestra,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,Elvis Presley,42,35iHCJkvKHqUnZ0E2eeF5d,False,0.473,0.606,4,-6.234,1,0.0326,0.515,0.0692,0.13,0.604,125.977,audio_features,35iHCJkvKHqUnZ0E2eeF5d,spotify:track:35iHCJkvKHqUnZ0E2eeF5d,https://api.spotify.com/v1/tracks/35iHCJkvKHqUnZ0E2eeF5d,https://api.spotify.com/v1/audio-analysis/35iHCJkvKHqUnZ0E2eeF5d,196107,4
21,It's Now or Never,The Essential Elvis Presley,Elvis Presley,30,7pW9Wj1U4t19HKlvxM6Pzw,False,0.637,0.466,4,-10.172,1,0.0347,0.65,0.0101,0.279,0.793,126.41,audio_features,7pW9Wj1U4t19HKlvxM6Pzw,spotify:track:7pW9Wj1U4t19HKlvxM6Pzw,https://api.spotify.com/v1/tracks/7pW9Wj1U4t19HKlvxM6Pzw,https://api.spotify.com/v1/audio-analysis/7pW9Wj1U4t19HKlvxM6Pzw,194413,4
22,It's Now or Never,The 50 Greatest Hits,Elvis Presley,22,0bzIxZJNst6iypVZpZt6GR,False,0.631,0.447,4,-11.606,1,0.0366,0.537,0.000243,0.551,0.789,126.22,audio_features,0bzIxZJNst6iypVZpZt6GR,spotify:track:0bzIxZJNst6iypVZpZt6GR,https://api.spotify.com/v1/tracks/0bzIxZJNst6iypVZpZt6GR,https://api.spotify.com/v1/audio-analysis/0bzIxZJNst6iypVZpZt6GR,195347,4
23,The Twist,Dancin' Party: The Chubby Checker Collection (1960-1966),Chubby Checker,60,4YCnTYbq3oL1Lqpyxg33CU,False,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/tracks/4YCnTYbq3oL1Lqpyxg33CU,https://api.spotify.com/v1/audio-analysis/4YCnTYbq3oL1Lqpyxg33CU,155040,4
24,The Twist,The Best Of Chubby Checker 1959-1963,Chubby Checker,53,3ohLnESFgYACPMCkoTOzqE,False,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,audio_features,3ohLnESFgYACPMCkoTOzqE,spotify:track:3ohLnESFgYACPMCkoTOzqE,https://api.spotify.com/v1/tracks/3ohLnESFgYACPMCkoTOzqE,https://api.spotify.com/v1/audio-analysis/3ohLnESFgYACPMCkoTOzqE,153760,4
25,Save the Last Dance for Me,Save the Last Dance for Me,The Drifters,58,391TUcoPonqYykPkSZ5Z9U,False,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,audio_features,391TUcoPonqYykPkSZ5Z9U,spotify:track:391TUcoPonqYykPkSZ5Z9U,https://api.spotify.com/v1/tracks/391TUcoPonqYykPkSZ5Z9U,https://api.spotify.com/v1/audio-analysis/391TUcoPonqYykPkSZ5Z9U,154960,4
26,Save the Last Dance for Me,All-Time Greatest Hits & More 1959-1965,The Drifters,40,7quaRdGKICuz3XiF1WRdta,False,0.6,0.576,4,-7.667,1,0.0309,0.458,0.0,0.123,0.868,142.934,audio_features,7quaRdGKICuz3XiF1WRdta,spotify:track:7quaRdGKICuz3XiF1WRdta,https://api.spotify.com/v1/tracks/7quaRdGKICuz3XiF1WRdta,https://api.spotify.com/v1/audio-analysis/7quaRdGKICuz3XiF1WRdta,154227,4
27,Georgia on My Mind - Original Master Recording,Georgia on My Mind (Original Master Recording),Ray Charles,59,47mA6f44zxLtdATOoY7GjN,False,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,audio_features,47mA6f44zxLtdATOoY7GjN,spotify:track:47mA6f44zxLtdATOoY7GjN,https://api.spotify.com/v1/tracks/47mA6f44zxLtdATOoY7GjN,https://api.spotify.com/v1/audio-analysis/47mA6f44zxLtdATOoY7GjN,217415,4
28,Georgia on My Mind,True Genius,Ray Charles,53,6yMGxqKj0218mFR5KqsMRq,False,0.19,0.323,7,-12.405,1,0.0303,0.626,2.17e-06,0.176,0.281,94.34,audio_features,6yMGxqKj0218mFR5KqsMRq,spotify:track:6yMGxqKj0218mFR5KqsMRq,https://api.spotify.com/v1/tracks/6yMGxqKj0218mFR5KqsMRq,https://api.spotify.com/v1/audio-analysis/6yMGxqKj0218mFR5KqsMRq,219560,4
29,Georgia on My Mind,Live at l'Olympia,Ray Charles,38,4hd8wgCh7ZQWRyXNLnwjTD,False,0.304,0.289,4,-10.963,0,0.0432,0.752,0.0,0.756,0.154,147.176,audio_features,4hd8wgCh7ZQWRyXNLnwjTD,spotify:track:4hd8wgCh7ZQWRyXNLnwjTD,https://api.spotify.com/v1/tracks/4hd8wgCh7ZQWRyXNLnwjTD,https://api.spotify.com/v1/audio-analysis/4hd8wgCh7ZQWRyXNLnwjTD,372627,3
30,Are You Lonesome Tonight?,Platinum - A Life In Music,Elvis Presley,53,4xUqqie4bBKufHtlMuZS3k,False,0.433,0.0748,0,-19.351,1,0.049,0.92,0.00104,0.105,0.193,73.093,audio_features,4xUqqie4bBKufHtlMuZS3k,spotify:track:4xUqqie4bBKufHtlMuZS3k,https://api.spotify.com/v1/tracks/4xUqqie4bBKufHtlMuZS3k,https://api.spotify.com/v1/audio-analysis/4xUqqie4bBKufHtlMuZS3k,186667,3
31,Are You Lonesome Tonight?,Elvis 30 #1 Hits,Elvis Presley,47,4wM7V31TsZzzDBEH02Hltb,False,0.421,0.201,0,-12.399,1,0.0436,0.917,0.000436,0.116,0.188,129.689,audio_features,4wM7V31TsZzzDBEH02Hltb,spotify:track:4wM7V31TsZzzDBEH02Hltb,https://api.spotify.com/v1/tracks/4wM7V31TsZzzDBEH02Hltb,https://api.spotify.com/v1/audio-analysis/4wM7V31TsZzzDBEH02Hltb,186507,5
32,Are You Lonesome Tonight? - First 'Sit-Down' Show - Live,The Best of The '68 Comeback Special,Elvis Presley,47,2B4glYcmmcchhQXUUrROE8,False,0.421,0.56,0,-14.04,1,0.451,0.865,0.0388,0.676,0.458,78.64,audio_features,2B4glYcmmcchhQXUUrROE8,spotify:track:2B4glYcmmcchhQXUUrROE8,https://api.spotify.com/v1/tracks/2B4glYcmmcchhQXUUrROE8,https://api.spotify.com/v1/audio-analysis/2B4glYcmmcchhQXUUrROE8,170507,3
33,Are You Lonesome Tonight?,The Essential Elvis Presley,Elvis Presley,28,4aNsobd4PiU7PbXAk1HK5t,False,0.437,0.195,0,-12.268,1,0.0421,0.922,0.00061,0.111,0.198,111.152,audio_features,4aNsobd4PiU7PbXAk1HK5t,spotify:track:4aNsobd4PiU7PbXAk1HK5t,https://api.spotify.com/v1/tracks/4aNsobd4PiU7PbXAk1HK5t,https://api.spotify.com/v1/audio-analysis/4aNsobd4PiU7PbXAk1HK5t,186173,4
34,Are You Lonesome Tonight? - First 'Sit-Down' Show - Live,'68 Comeback Special (50th Anniversary Edition),Elvis Presley,24,49TuBoOIaILVihxJLodA60,False,0.425,0.564,0,-14.073,1,0.373,0.864,0.0307,0.677,0.428,78.617,audio_features,49TuBoOIaILVihxJLodA60,spotify:track:49TuBoOIaILVihxJLodA60,https://api.spotify.com/v1/tracks/49TuBoOIaILVihxJLodA60,https://api.spotify.com/v1/audio-analysis/49TuBoOIaILVihxJLodA60,171013,3
35,Are You Lonesome Tonight?,Elvis Presley: The Searcher (The Original Soundtrack) [Deluxe],Elvis Presley,20,7Au4oleK2a4oxRU5A0mKm3,False,0.416,0.116,0,-16.38,1,0.0438,0.917,7.72e-05,0.104,0.188,131.536,audio_features,7Au4oleK2a4oxRU5A0mKm3,spotify:track:7Au4oleK2a4oxRU5A0mKm3,https://api.spotify.com/v1/tracks/7Au4oleK2a4oxRU5A0mKm3,https://api.spotify.com/v1/audio-analysis/7Au4oleK2a4oxRU5A0mKm3,186440,5
36,Are You Lonesome Tonight? (Laughing Version) - Live,From The Vaults -'60s,Elvis Presley,33,1A0lPqNzUZxw9nBeehE5TW,False,0.416,0.327,0,-15.806,1,0.0707,0.95,0.104,0.366,0.391,128.439,audio_features,1A0lPqNzUZxw9nBeehE5TW,spotify:track:1A0lPqNzUZxw9nBeehE5TW,https://api.spotify.com/v1/tracks/1A0lPqNzUZxw9nBeehE5TW,https://api.spotify.com/v1/audio-analysis/1A0lPqNzUZxw9nBeehE5TW,172720,3
37,Wonderland by Night,Multi-Instrumentalist,Bert Kaempfert & His Orchestra,6,0xNKFLzo7nx69ZCWcLCXpn,False,0.196,0.249,4,-8.376,1,0.0296,0.924,0.703,0.198,0.193,72.565,audio_features,0xNKFLzo7nx69ZCWcLCXpn,spotify:track:0xNKFLzo7nx69ZCWcLCXpn,https://api.spotify.com/v1/tracks/0xNKFLzo7nx69ZCWcLCXpn,https://api.spotify.com/v1/audio-analysis/0xNKFLzo7nx69ZCWcLCXpn,193318,4
38,Will You Love Me Tomorrow,Tonight's The Night,The Shirelles,62,0bwy3sGHeYwng2Ioicq6wf,False,0.55,0.382,0,-6.429,1,0.0263,0.312,1.11e-05,0.221,0.464,136.128,audio_features,0bwy3sGHeYwng2Ioicq6wf,spotify:track:0bwy3sGHeYwng2Ioicq6wf,https://api.spotify.com/v1/tracks/0bwy3sGHeYwng2Ioicq6wf,https://api.spotify.com/v1/audio-analysis/0bwy3sGHeYwng2Ioicq6wf,160693,4
39,Will You Love Me Tomorrow,The Best Of The Shirelles,The Shirelles,46,2kNYcE79Yu778nqdOgBHEb,False,0.49,0.384,0,-11.315,1,0.0275,0.438,3.17e-05,0.539,0.47,137.047,audio_features,2kNYcE79Yu778nqdOgBHEb,spotify:track:2kNYcE79Yu778nqdOgBHEb,https://api.spotify.com/v1/tracks/2kNYcE79Yu778nqdOgBHEb,https://api.spotify.com/v1/audio-analysis/2kNYcE79Yu778nqdOgBHEb,162893,4
40,Will You Love Me Tomorrow,Will You Still Love Me Tomorrow,The Shirelles,38,3DkdQdfSF9OEsloB5GY2Wa,False,0.513,0.379,0,-9.679,1,0.0314,0.686,2.62e-05,0.417,0.509,135.756,audio_features,3DkdQdfSF9OEsloB5GY2Wa,spotify:track:3DkdQdfSF9OEsloB5GY2Wa,https://api.spotify.com/v1/tracks/3DkdQdfSF9OEsloB5GY2Wa,https://api.spotify.com/v1/audio-analysis/3DkdQdfSF9OEsloB5GY2Wa,160320,4
41,Calcutta - Remastered,My Best (Remastered),Lawrence Welk,21,1iXx0IlX5j33jyumZjBWU4,False,0.482,0.681,0,-9.114,1,0.0263,0.588,0.683,0.405,0.963,81.997,audio_features,1iXx0IlX5j33jyumZjBWU4,spotify:track:1iXx0IlX5j33jyumZjBWU4,https://api.spotify.com/v1/tracks/1iXx0IlX5j33jyumZjBWU4,https://api.spotify.com/v1/audio-analysis/1iXx0IlX5j33jyumZjBWU4,132173,4
42,Pony Time,Chubby Checker Classics,Chubby Checker,31,2XPEv2sB6c44DSocT2TwAc,False,0.453,0.609,8,-6.662,1,0.0296,0.00868,3.43e-05,0.0797,0.96,77.36,audio_features,2XPEv2sB6c44DSocT2TwAc,spotify:track:2XPEv2sB6c44DSocT2TwAc,https://api.spotify.com/v1/tracks/2XPEv2sB6c44DSocT2TwAc,https://api.spotify.com/v1/audio-analysis/2XPEv2sB6c44DSocT2TwAc,147427,4
43,Pony Time,It's Pony Time/Let's Twist Again,Chubby Checker,22,45gAw2xmDx9DZAnoiJK723,False,0.509,0.702,3,-5.695,1,0.0514,0.526,0.0,0.124,0.947,154.571,audio_features,45gAw2xmDx9DZAnoiJK723,spotify:track:45gAw2xmDx9DZAnoiJK723,https://api.spotify.com/v1/tracks/45gAw2xmDx9DZAnoiJK723,https://api.spotify.com/v1/audio-analysis/45gAw2xmDx9DZAnoiJK723,148733,4
